Date,Region,Area,Unemployment_Rate,Employed,Labour_Participation_Rate
14-04-2026,Uttar Pradesh,Rural,10.59,2042811,65.19
15-04-2026,Maharashtra,Rural,29.08,398090,52.99
16-04-2026,Tamil Nadu,Rural,5.3,417348,31.19
17-04-2026,Tamil Nadu,Urban,29.25,1426283,57.02
18-04-2026,Uttar Pradesh,Rural,6.08,192324,31.79
19-04-2026,Rajasthan,Urban,27.28,2420688,48.02
20-04-2026,Rajasthan,Urban,18.19,1905808,67.18
21-04-2026,Karnataka,Urban,29.82,1420567,36.61
22-04-2026,Tamil Nadu,Urban,6.84,4320459,45.59
23-04-2026,Maharashtra,Urban,18.85,4636119,59.19
24-04-2026,Maharashtra,Urban,29.23,4115470,65.29
25-04-2026,West Bengal,Urban,18.08,4754798,56.84
26-04-2026,Uttar Pradesh,Urban,20.73,3377419,40.33
27-04-2026,West Bengal,Rural,22.39,3722138,56.98
28-04-2026,Delhi,Urban,16.36,2640476,41.87
29-04-2026,Karnataka,Rural,20.69,4329011,58.74
30-04-2026,Tamil Nadu,Urban,19.61,1037841,68.16
01-05-2026,West Bengal,Urban,27.53,1667053,58.86
02-05-2026,Uttar Pradesh,Urban,6.14,2016545,64.52
03-05-2026,Uttar Pradesh,Urban,12.02,2943940,30.08
04-05-2026,Karnataka,Rural,28.76,4647603,58.7
05-05-2026,West Bengal,Rural,27.26,4032441,63.18
06-05-2026,Gujarat,Rural,16.39,1307068,31.62
07-05-2026,West Bengal,Rural,20.5,4464406,64.86
08-05-2026,West Bengal,Rural,11.93,494274,40.27
09-05-2026,West Bengal,Rural,9.7,4511589,56.61
10-05-2026,Karnataka,Rural,16.59,1486980,62.01
11-05-2026,Maharashtra,Rural,13.83,1308052,56.51
12-05-2026,Delhi,Urban,19.59,2955994,33.69
13-05-2026,Gujarat,Rural,6.94,3047762,53.85
14-05-2026,Karnataka,Urban,29.36,2493293,51.98
15-05-2026,Gujarat,Rural,29.66,3140267,66.01
16-05-2026,Delhi,Rural,22.45,3942323,46.17
17-05-2026,Uttar Pradesh,Rural,18.4,1397076,42.84
18-05-2026,Delhi,Urban,12.74,1280887,59.99
19-05-2026,Karnataka,Rural,25.34,1907610,46.51
20-05-2026,Gujarat,Rural,22.12,4539850,55.84
21-05-2026,Gujarat,Rural,9.07,2848385,55.86
22-05-2026,Karnataka,Urban,27.77,3815288,65.52
23-05-2026,Maharashtra,Rural,25.56,2024401,53.95
24-05-2026,Karnataka,Urban,28.74,1996220,50.09
25-05-2026,Rajasthan,Rural,23.14,3238744,35.55
26-05-2026,West Bengal,Rural,20.34,246470,34.63
27-05-2026,Gujarat,Rural,15.46,1467223,36.17
28-05-2026,Tamil Nadu,Urban,28.32,1155146,36.87
29-05-2026,Delhi,Rural,26.65,2528081,55.52
30-05-2026,Rajasthan,Rural,6.13,3779126,59.64
31-05-2026,Tamil Nadu,Rural,5.66,3744843,51.2
01-06-2026,Rajasthan,Rural,14.41,4373445,63.16
02-06-2026,Uttar Pradesh,Urban,25.26,4306419,69.65
03-06-2026,Rajasthan,Rural,29.68,3284790,62.8
04-06-2026,West Bengal,Urban,8.76,3006495,57.8
05-06-2026,Rajasthan,Urban,19.85,4241363,51.3
06-06-2026,Karnataka,Urban,14.52,1674833,47.95
07-06-2026,Delhi,Urban,29.25,3027337,33.38
08-06-2026,Rajasthan,Urban,26.05,2148891,45.97
09-06-2026,Rajasthan,Rural,25.96,1270439,66.41
10-06-2026,Gujarat,Rural,16.72,3746804,62.32
11-06-2026,Uttar Pradesh,Rural,15.37,747296,38.64
12-06-2026,Maharashtra,Urban,11.84,1649302,48.66
13-06-2026,West Bengal,Urban,6.41,3222951,62.67
14-06-2026,Gujarat,Urban,26.62,1778687,32.7
15-06-2026,Tamil Nadu,Urban,25.32,900101,45.5
16-06-2026,Gujarat,Urban,29.99,4200612,64.07
17-06-2026,Gujarat,Urban,29.92,2059406,46.16
18-06-2026,Rajasthan,Urban,18.89,1064918,33.1
19-06-2026,Uttar Pradesh,Rural,24.22,596758,51.7
20-06-2026,West Bengal,Urban,28.62,4742929,64.47
21-06-2026,Gujarat,Rural,26.24,128625,53.61
22-06-2026,Gujarat,Rural,11.18,2933552,39.05
23-06-2026,Delhi,Urban,16.26,3531961,45.37
24-06-2026,Rajasthan,Urban,8.23,1376647,48
25-06-2026,Tamil Nadu,Rural,28.85,4142608,53.17
26-06-2026,West Bengal,Urban,20.15,4782315,60.37
27-06-2026,Tamil Nadu,Rural,10.72,2627576,33.95
28-06-2026,Karnataka,Urban,21.79,416205,65.59
29-06-2026,Delhi,Urban,20.45,3145315,30.49
30-06-2026,Rajasthan,Rural,13.95,3244480,44.8
01-07-2026,Uttar Pradesh,Rural,7.84,4395680,31.1
02-07-2026,Rajasthan,Rural,21.79,3670834,45.72
03-07-2026,West Bengal,Urban,18.01,3030639,51.03
04-07-2026,Maharashtra,Urban,24.31,2964781,50.47
05-07-2026,Rajasthan,Rural,18,4205519,36.63
06-07-2026,Karnataka,Urban,26.3,3717860,55.83
07-07-2026,Tamil Nadu,Rural,18.8,4452360,31.79
08-07-2026,Rajasthan,Urban,19.02,4928761,60.48
09-07-2026,Karnataka,Rural,26.92,4040285,67.87
10-07-2026,Maharashtra,Rural,15.09,4757089,43.59
11-07-2026,Karnataka,Urban,8.35,2727144,50.69
12-07-2026,Uttar Pradesh,Rural,5.72,2925896,45.16
13-07-2026,Uttar Pradesh,Rural,23.88,2138540,30.27
14-07-2026,Maharashtra,Rural,20.51,4976872,45.43
15-07-2026,West Bengal,Rural,22.6,2839956,61.67
16-07-2026,Tamil Nadu,Urban,10.32,2719980,53.84
17-07-2026,Karnataka,Urban,8.41,821384,34.05
18-07-2026,Rajasthan,Urban,5.36,619777,63.89
19-07-2026,Tamil Nadu,Urban,13.76,3799181,51.24
20-07-2026,Rajasthan,Urban,19.75,2987698,63.67
21-07-2026,Tamil Nadu,Urban,14.81,4330625,53.21
22-07-2026,Tamil Nadu,Rural,15.94,2532593,52.39
23-07-2026,Karnataka,Urban,27.6,4128812,34.21
24-07-2026,Delhi,Urban,13.71,4131464,36.69
25-07-2026,Tamil Nadu,Urban,17.85,3490742,68.88
26-07-2026,Maharashtra,Rural,24.59,256498,39.14
27-07-2026,Rajasthan,Rural,14.91,2987296,69.1
28-07-2026,West Bengal,Urban,20.55,4688887,51.28
29-07-2026,Rajasthan,Urban,26.56,2836582,35.43
30-07-2026,West Bengal,Urban,28.74,1200500,33.97
31-07-2026,Tamil Nadu,Rural,8.68,1676590,38.35
01-08-2026,Uttar Pradesh,Rural,28.16,2061977,67.03
02-08-2026,Tamil Nadu,Urban,17.3,4132654,46.57
03-08-2026,West Bengal,Rural,11.46,764468,45.82
04-08-2026,Delhi,Rural,16.48,3460160,42.53
05-08-2026,Gujarat,Urban,29.5,3385727,35.88
06-08-2026,Tamil Nadu,Rural,17.32,980112,49.51
07-08-2026,Maharashtra,Rural,13.22,4652994,35.2
08-08-2026,Rajasthan,Urban,20.84,3137099,63.42
09-08-2026,Delhi,Urban,11,4374277,44.82
10-08-2026,Maharashtra,Urban,6.9,4095609,44.99
11-08-2026,Gujarat,Rural,8.22,4928426,48.96
12-08-2026,Uttar Pradesh,Urban,8.2,2142823,47.77
13-08-2026,Uttar Pradesh,Rural,8.8,1148173,69.79
14-08-2026,Maharashtra,Urban,8.47,1602025,51.82
15-08-2026,Tamil Nadu,Urban,21.02,2691661,33.53
16-08-2026,Delhi,Urban,9.55,2012584,54.28
17-08-2026,West Bengal,Rural,13.64,3877538,36.06
18-08-2026,Tamil Nadu,Urban,27.42,325049,31.24
19-08-2026,Karnataka,Urban,16.85,1417191,68.83
20-08-2026,Maharashtra,Rural,21.69,2961509,60.94
21-08-2026,Tamil Nadu,Urban,9.31,847419,69.2
22-08-2026,Gujarat,Rural,9.81,1179924,49.12
23-08-2026,Uttar Pradesh,Rural,6.02,2480932,51.29
24-08-2026,Karnataka,Rural,9.22,1754753,36.73
25-08-2026,Uttar Pradesh,Rural,11.96,504772,39.88
26-08-2026,Maharashtra,Urban,9.43,1815499,63.54
27-08-2026,Uttar Pradesh,Rural,7.22,671107,44.25
28-08-2026,Tamil Nadu,Rural,8.02,2175406,63.07
29-08-2026,Karnataka,Urban,16.52,2617334,58.36
30-08-2026,Karnataka,Urban,10.16,2186213,37.09
31-08-2026,Tamil Nadu,Rural,14.11,3458509,50.3
01-09-2026,Tamil Nadu,Urban,17.59,2879499,57.1
02-09-2026,West Bengal,Urban,22.26,2013722,39.4
03-09-2026,Gujarat,Rural,5.98,2910860,63.23
04-09-2026,Delhi,Rural,24.99,648884,51.79
05-09-2026,Gujarat,Urban,20.7,2099254,36.61
06-09-2026,Uttar Pradesh,Urban,7.04,1087471,53.32
07-09-2026,Uttar Pradesh,Urban,26.84,4353486,69.99
08-09-2026,Maharashtra,Rural,28.02,4256532,36.02
09-09-2026,Rajasthan,Rural,6.53,1801667,62.67
10-09-2026,Karnataka,Rural,11.92,3717556,38.29
11-09-2026,Delhi,Rural,25.16,2967340,61.3
12-09-2026,Tamil Nadu,Rural,23.71,358517,59.38
13-09-2026,Uttar Pradesh,Rural,9.61,1457133,42.02
14-09-2026,Uttar Pradesh,Urban,10.23,805475,43.03
15-09-2026,Uttar Pradesh,Urban,14.26,4039311,61.7
16-09-2026,Gujarat,Urban,17.11,848013,48.46
17-09-2026,Karnataka,Urban,20.46,2888890,59.23
18-09-2026,Karnataka,Urban,14.22,1352078,35.92
19-09-2026,Gujarat,Rural,16.56,4438843,64.1
20-09-2026,Karnataka,Rural,23.69,524226,58.44
21-09-2026,Tamil Nadu,Urban,5.92,3767591,66.28
22-09-2026,Tamil Nadu,Rural,11.31,3367727,35.29
23-09-2026,Karnataka,Urban,22.83,4217923,53.72
24-09-2026,Gujarat,Urban,27.38,3703101,53.96
25-09-2026,Tamil Nadu,Rural,17.79,4994640,44.14
26-09-2026,Uttar Pradesh,Urban,18.3,798956,48.34
27-09-2026,West Bengal,Urban,7.68,4001529,31.52
28-09-2026,Gujarat,Urban,16.19,3503096,59.83
29-09-2026,Rajasthan,Rural,18.32,4380669,51.97
30-09-2026,Uttar Pradesh,Urban,11.06,854950,32.31
01-10-2026,Karnataka,Rural,11.73,275211,57.23
02-10-2026,Delhi,Urban,14.43,4192966,48.67
03-10-2026,Karnataka,Rural,5.5,4357950,31.38
04-10-2026,Rajasthan,Urban,13.05,365798,68.78
05-10-2026,Rajasthan,Rural,10.29,1630814,67.96
06-10-2026,Gujarat,Rural,13.19,1983376,50.52
07-10-2026,Karnataka,Urban,7.99,3991113,33.75
08-10-2026,West Bengal,Rural,27.26,3121097,60.18
09-10-2026,Delhi,Urban,19.84,255683,49.68
10-10-2026,Maharashtra,Rural,21.98,3103475,42.1
11-10-2026,Gujarat,Rural,24.73,4926563,49.66
12-10-2026,Tamil Nadu,Rural,17.46,4830741,50.9
13-10-2026,Gujarat,Rural,7.17,2087755,52.51
14-10-2026,Tamil Nadu,Urban,18.43,2006039,47.65
15-10-2026,Gujarat,Rural,19.67,4861260,54.23
16-10-2026,Gujarat,Rural,23.64,1555465,66.75
17-10-2026,Gujarat,Urban,15.79,4292814,44.49
18-10-2026,Maharashtra,Rural,8.19,1094170,59.03
19-10-2026,Gujarat,Urban,12.09,2809644,65.78
20-10-2026,Uttar Pradesh,Urban,14.08,311830,48.24
21-10-2026,Rajasthan,Rural,21.15,3662613,47.74
22-10-2026,Uttar Pradesh,Rural,19.27,3429049,54.08
23-10-2026,Delhi,Urban,13.9,4855976,53.66
24-10-2026,Gujarat,Rural,29.66,621998,62.26
25-10-2026,Karnataka,Urban,20.14,4160119,49.06
26-10-2026,West Bengal,Rural,10.93,3846169,69.84
27-10-2026,Karnataka,Urban,7.54,175388,32.38
28-10-2026,Uttar Pradesh,Rural,8.82,1875767,30.13
29-10-2026,Karnataka,Rural,11.15,2429753,55.61
30-10-2026,Gujarat,Rural,9.02,1597618,41.94
31-10-2026,Karnataka,Urban,9.66,4121080,39.62
01-11-2026,Tamil Nadu,Urban,12.13,4528690,42.48
02-11-2026,Uttar Pradesh,Rural,9.33,3589443,40.24
03-11-2026,Gujarat,Rural,27.42,2658944,31.23
04-11-2026,Rajasthan,Urban,7.01,601174,68.86
05-11-2026,Tamil Nadu,Rural,18.11,2981777,38.83
06-11-2026,West Bengal,Rural,15.26,2848996,59.36
07-11-2026,West Bengal,Rural,29.56,295246,60.5
08-11-2026,Uttar Pradesh,Rural,7.8,3796176,67.17
09-11-2026,Delhi,Urban,14.95,2443394,31.22
10-11-2026,Maharashtra,Urban,29.24,611083,64.88
11-11-2026,West Bengal,Rural,26.64,1112384,51.09
12-11-2026,Tamil Nadu,Rural,25.43,966964,55.3
13-11-2026,Tamil Nadu,Rural,11.45,149104,55.78
14-11-2026,Delhi,Urban,9.27,3156277,62.79
15-11-2026,Maharashtra,Urban,21.72,963663,43.34
16-11-2026,Delhi,Urban,28.23,4858982,59.32
17-11-2026,Delhi,Rural,18.92,4500072,51.14
18-11-2026,Gujarat,Urban,19.29,1306861,61.74
19-11-2026,Rajasthan,Urban,12,3219612,69.62
20-11-2026,West Bengal,Urban,24.24,2991005,38.03
21-11-2026,Rajasthan,Rural,9.68,4836319,69.79
22-11-2026,Maharashtra,Rural,13.09,357681,33.59
23-11-2026,Karnataka,Urban,15.64,194018,30.09
24-11-2026,Tamil Nadu,Rural,17.69,2098197,31.77
25-11-2026,Uttar Pradesh,Rural,11.06,2154780,43.67
26-11-2026,Maharashtra,Urban,7.87,3539782,55.32
27-11-2026,Tamil Nadu,Rural,20.27,4523408,32.76
28-11-2026,Tamil Nadu,Rural,12.22,942186,30.23
29-11-2026,Maharashtra,Urban,19.53,4487814,67.48
30-11-2026,Maharashtra,Rural,8.86,1593293,62.88
01-12-2026,Gujarat,Urban,17.03,2651314,62.37
02-12-2026,Maharashtra,Rural,18.31,1224905,65.38
03-12-2026,Delhi,Rural,6.3,3205958,58
04-12-2026,Tamil Nadu,Rural,13.42,4989196,34.18
05-12-2026,Delhi,Urban,8.36,3358084,45.96
06-12-2026,Delhi,Rural,6.58,304451,58.93
07-12-2026,Delhi,Rural,29.75,2080290,41.21
08-12-2026,West Bengal,Rural,13.06,3524328,57.5
09-12-2026,Tamil Nadu,Rural,25.25,4849959,30.98
10-12-2026,Karnataka,Urban,11.37,503322,42.25
11-12-2026,West Bengal,Urban,22.04,4671843,51.97
12-12-2026,Tamil Nadu,Rural,24.01,4410796,55.28
13-12-2026,Karnataka,Rural,19.89,4177716,53.08
14-12-2026,Tamil Nadu,Rural,16.79,4459879,57.91
15-12-2026,Uttar Pradesh,Urban,15.3,2190545,30.24
16-12-2026,Uttar Pradesh,Rural,13.72,2008802,34.04
17-12-2026,Rajasthan,Urban,28.24,1648075,64.76
18-12-2026,Rajasthan,Rural,25.77,593948,57.27
19-12-2026,West Bengal,Rural,29.13,4268962,34.52
20-12-2026,Rajasthan,Rural,8.11,3844085,63.68
21-12-2026,Maharashtra,Urban,23.27,880641,39.69
22-12-2026,Rajasthan,Rural,28.46,4566134,49.13
23-12-2026,Rajasthan,Rural,9.53,1654205,35.81
24-12-2026,Gujarat,Rural,6.66,1804597,58.4
25-12-2026,Delhi,Rural,23.53,3865689,56.67
26-12-2026,Maharashtra,Rural,19.36,2651331,38.44
27-12-2026,Rajasthan,Urban,26.05,3227748,64.54
28-12-2026,Gujarat,Rural,8.49,935036,46.05
29-12-2026,Maharashtra,Rural,24.88,2469822,41.7
30-12-2026,Maharashtra,Urban,10.04,4101070,36.09
31-12-2026,Maharashtra,Rural,9.09,2488278,40.65
01-01-2027,West Bengal,Rural,9.11,2983791,30.88
02-01-2027,Gujarat,Urban,25.36,4280413,53.33
03-01-2027,Delhi,Urban,21.63,3596605,63.69
04-01-2027,Maharashtra,Urban,18.08,1405487,51.96
05-01-2027,Uttar Pradesh,Rural,13.97,408623,38.77
06-01-2027,Tamil Nadu,Urban,26.93,3747371,31.35
07-01-2027,Karnataka,Rural,14.81,3396903,38.59
08-01-2027,Uttar Pradesh,Urban,25.41,2368115,46.64
09-01-2027,Maharashtra,Urban,15.98,1290402,60.38
10-01-2027,Karnataka,Rural,14.42,1247116,37.51
11-01-2027,Gujarat,Urban,16.57,3056566,58.79
12-01-2027,Karnataka,Rural,12.53,3872763,64.68
13-01-2027,Rajasthan,Rural,23.69,410375,48.16
14-01-2027,Tamil Nadu,Urban,17.57,2226453,62.86
15-01-2027,Maharashtra,Rural,10.81,1371300,52.19
16-01-2027,Gujarat,Rural,27.49,3759731,55.48
17-01-2027,Tamil Nadu,Urban,14.6,4488087,51.05
18-01-2027,West Bengal,Rural,18.59,3942411,48.53
19-01-2027,Karnataka,Urban,27.66,1115416,39.39
20-01-2027,Maharashtra,Rural,20.61,4963059,42.13
21-01-2027,Delhi,Urban,7.92,2414181,41.6
22-01-2027,Rajasthan,Urban,28.5,3504231,52.53
23-01-2027,West Bengal,Urban,20.69,3365696,34.8
24-01-2027,Delhi,Urban,13.37,4672148,66.67
25-01-2027,Tamil Nadu,Urban,8.48,4305003,58.83
26-01-2027,Uttar Pradesh,Urban,24.85,3441861,46.06
27-01-2027,Tamil Nadu,Rural,20.5,4828307,36.34
28-01-2027,Tamil Nadu,Rural,18.34,2715804,65.28
29-01-2027,Maharashtra,Rural,27.35,4412717,62.95
30-01-2027,Karnataka,Urban,24.71,2082243,58.87
31-01-2027,West Bengal,Urban,8.79,1792128,40.86
01-02-2027,Uttar Pradesh,Urban,12.79,3513654,46.1
02-02-2027,Delhi,Rural,11.21,3370209,34.11
03-02-2027,Delhi,Urban,23.6,315400,37.56
04-02-2027,Karnataka,Urban,5.84,2757025,61.32
05-02-2027,West Bengal,Urban,19.25,3424664,58.6
06-02-2027,West Bengal,Rural,24.06,4686440,53.74
07-02-2027,Gujarat,Urban,26.92,3694058,65.83
08-02-2027,Gujarat,Urban,13.55,4684258,53.33
09-02-2027,Tamil Nadu,Rural,25.53,2235219,48.68
10-02-2027,Maharashtra,Rural,7.77,1846621,43.61
11-02-2027,Gujarat,Urban,26.16,4312377,67.62
12-02-2027,Uttar Pradesh,Urban,8.19,4330339,33.31
13-02-2027,Tamil Nadu,Rural,14.93,1344625,67.24
14-02-2027,West Bengal,Rural,24.93,333782,63.07
15-02-2027,Maharashtra,Urban,8.75,4909109,35.2
16-02-2027,Uttar Pradesh,Rural,10.73,3835466,52.6
17-02-2027,Gujarat,Urban,23.06,1683246,64.66
18-02-2027,Karnataka,Rural,23,826331,52.87
19-02-2027,Gujarat,Urban,21.03,1894291,66.29
20-02-2027,Tamil Nadu,Rural,22.35,3998606,67.72
21-02-2027,West Bengal,Rural,18.57,3082448,46.9
22-02-2027,West Bengal,Rural,11.29,4961993,45.09
23-02-2027,Tamil Nadu,Rural,13.64,2978117,67.45
24-02-2027,Tamil Nadu,Urban,9.54,4581617,57.01
25-02-2027,Tamil Nadu,Rural,27.71,4381772,34.64
26-02-2027,Maharashtra,Rural,19.58,2143037,31.69
27-02-2027,Rajasthan,Rural,15.02,4486007,52.59
28-02-2027,Delhi,Urban,16.55,3833149,67.21
01-03-2027,Tamil Nadu,Rural,28.68,3187821,63.77
02-03-2027,West Bengal,Urban,8.83,2904802,57.03
03-03-2027,Gujarat,Urban,19.66,4257263,35.56
04-03-2027,Gujarat,Urban,17.65,4588198,40.17
05-03-2027,Tamil Nadu,Urban,20.29,1713325,65.02
06-03-2027,Maharashtra,Urban,5.45,3712744,37.31
07-03-2027,Tamil Nadu,Urban,26.8,1226798,41.14
08-03-2027,Rajasthan,Urban,28.3,2833460,35.18
09-03-2027,Delhi,Urban,19.13,4215362,57.04
10-03-2027,Gujarat,Urban,22.42,1803377,67.76
11-03-2027,Delhi,Urban,28.06,1352557,40.76
12-03-2027,Delhi,Rural,22.68,4398515,49.02
13-03-2027,Gujarat,Urban,8.81,3432049,55.37
14-03-2027,Rajasthan,Urban,19.41,1590687,69.98
15-03-2027,Delhi,Rural,20.17,4781993,34.19
16-03-2027,Delhi,Urban,15.6,1023160,49.94
17-03-2027,Rajasthan,Urban,23.41,4157025,45.4
18-03-2027,Maharashtra,Urban,28.36,3702684,64.63
19-03-2027,Tamil Nadu,Rural,28.14,3047893,49.04
20-03-2027,Uttar Pradesh,Rural,16.27,3888963,34.44
21-03-2027,Tamil Nadu,Rural,7.83,3974910,55.38
22-03-2027,Delhi,Rural,29.62,3251629,60.83
23-03-2027,Maharashtra,Urban,25.97,2359776,30.12
24-03-2027,Tamil Nadu,Urban,8.12,3468045,64.36
25-03-2027,Delhi,Urban,28.02,4987349,37.44
26-03-2027,Gujarat,Urban,26.75,4440092,52.08
27-03-2027,Tamil Nadu,Urban,17.97,4932691,46.63
28-03-2027,Tamil Nadu,Rural,19.78,2732578,58.79
29-03-2027,Uttar Pradesh,Rural,14.98,1068616,44.85
30-03-2027,Tamil Nadu,Rural,6.37,4317733,64.79
31-03-2027,Karnataka,Urban,13.38,1350956,59.22
01-04-2027,West Bengal,Urban,25.07,1590036,55.91
02-04-2027,Maharashtra,Urban,5.12,2969729,61.85
03-04-2027,Gujarat,Rural,13.34,1909377,60.16
04-04-2027,Maharashtra,Urban,14.95,1165923,31.44
05-04-2027,Gujarat,Rural,18.43,1820856,45.79
06-04-2027,Gujarat,Urban,28,656110,67.23
07-04-2027,Karnataka,Urban,13.66,1064163,35.03
08-04-2027,Delhi,Urban,13.67,3112539,59.48
09-04-2027,Uttar Pradesh,Rural,23.44,4302271,68.98
10-04-2027,West Bengal,Urban,16.31,4142879,32.09
11-04-2027,Gujarat,Urban,10.62,3781887,57.29
12-04-2027,Rajasthan,Urban,16.31,2422523,48.73
13-04-2027,Rajasthan,Urban,8.52,3975358,53.17
14-04-2027,Gujarat,Rural,9.41,1313261,33.41
15-04-2027,Maharashtra,Urban,17.46,4846771,31.72
16-04-2027,Rajasthan,Rural,15.47,351537,56.67
17-04-2027,Karnataka,Rural,27.87,1856124,62.93
18-04-2027,Maharashtra,Urban,14.06,941531,61.28
19-04-2027,West Bengal,Rural,19.51,964645,51.75
20-04-2027,Karnataka,Rural,20.81,1528127,33.99
21-04-2027,Karnataka,Urban,5.33,571082,57.52
22-04-2027,Delhi,Rural,21.59,2021277,39.68
23-04-2027,Rajasthan,Rural,9.45,4354849,66.44
24-04-2027,Maharashtra,Rural,29.03,3547794,63.53
25-04-2027,West Bengal,Rural,8.72,1715777,58.38
26-04-2027,Uttar Pradesh,Urban,15.37,3604905,67.95
27-04-2027,West Bengal,Urban,7.13,3612664,31.26
28-04-2027,West Bengal,Urban,29.92,1073181,59.45
29-04-2027,Uttar Pradesh,Rural,17.55,3216810,43.21
30-04-2027,Uttar Pradesh,Urban,19.88,1591633,66.24
01-05-2027,Delhi,Urban,6.68,4995996,40.67
02-05-2027,Gujarat,Rural,23.75,1633854,58.99
03-05-2027,Uttar Pradesh,Rural,10.25,2161774,65.11
04-05-2027,Uttar Pradesh,Urban,27.45,2890358,31.67
05-05-2027,Uttar Pradesh,Urban,10.13,3960562,45.91
06-05-2027,Tamil Nadu,Rural,9.77,3290664,60.49
07-05-2027,Karnataka,Urban,5.91,1865524,48.2
08-05-2027,Karnataka,Rural,16.8,1350632,40.69
09-05-2027,Gujarat,Urban,19.12,2422621,38.79
10-05-2027,Uttar Pradesh,Rural,6.64,237478,35.26
11-05-2027,Delhi,Urban,24.39,3343087,64.29
12-05-2027,Tamil Nadu,Rural,16.33,1009711,53.01
13-05-2027,Tamil Nadu,Rural,18.11,3811584,33.06
14-05-2027,Gujarat,Rural,16.02,1719715,45.3
15-05-2027,West Bengal,Urban,15.02,2690310,44.71
16-05-2027,Rajasthan,Urban,18.99,1727687,37.27
17-05-2027,Tamil Nadu,Rural,8.88,1060612,47.42
18-05-2027,Uttar Pradesh,Urban,9.55,527387,43.28
19-05-2027,Rajasthan,Urban,26.54,3746259,43.67
20-05-2027,Gujarat,Rural,28.65,1644613,59.56
21-05-2027,Karnataka,Urban,14.33,1397638,38.93
22-05-2027,Rajasthan,Rural,11.77,4729988,55.67
23-05-2027,Tamil Nadu,Rural,21.1,2254174,52.83
24-05-2027,Gujarat,Urban,15.22,2530525,52.72
25-05-2027,Rajasthan,Urban,5.63,3195010,56.52
26-05-2027,West Bengal,Urban,8.9,2556070,51.94
27-05-2027,Rajasthan,Rural,22.9,589626,65.17
28-05-2027,Tamil Nadu,Urban,21.47,388859,57.02
29-05-2027,Karnataka,Rural,5.68,4849766,51.88
30-05-2027,Delhi,Rural,10.55,1646236,63.19
31-05-2027,Tamil Nadu,Rural,10.78,4101412,54.25
01-06-2027,Tamil Nadu,Urban,21.8,2390870,41.65
02-06-2027,Uttar Pradesh,Urban,5.49,694305,38.28
03-06-2027,Delhi,Rural,7.6,4357341,36.09
04-06-2027,Maharashtra,Rural,25,3859834,65.98
05-06-2027,Uttar Pradesh,Urban,9.46,2727988,58.41
06-06-2027,Uttar Pradesh,Urban,21.32,304366,67.5
07-06-2027,Rajasthan,Urban,10.95,602420,54.13
08-06-2027,Uttar Pradesh,Urban,7.49,2351401,48.94
09-06-2027,Gujarat,Urban,11.08,1779161,32.39
10-06-2027,Rajasthan,Urban,23.06,1138199,56.87
11-06-2027,Gujarat,Rural,26.39,760902,53.29
12-06-2027,Gujarat,Urban,25.76,1638112,69.61
13-06-2027,Gujarat,Rural,14.93,1826676,39.57
14-06-2027,Uttar Pradesh,Urban,21.7,1470073,51.23
15-06-2027,Uttar Pradesh,Urban,10.12,4253585,56.04
16-06-2027,Karnataka,Urban,12.33,1785996,55.78
17-06-2027,Maharashtra,Urban,27.41,3346417,52.45
18-06-2027,Gujarat,Urban,5.33,802436,61.08
19-06-2027,Maharashtra,Rural,7.14,2643788,38.2
20-06-2027,Karnataka,Rural,10.2,1452144,59.03
21-06-2027,Karnataka,Rural,5.66,1651330,54.79
22-06-2027,Gujarat,Rural,9.54,1071248,65.84
23-06-2027,Gujarat,Urban,19.58,4757851,63.89
24-06-2027,Tamil Nadu,Urban,15.54,2707411,42.61
25-06-2027,Gujarat,Rural,27.32,1793439,41.05
26-06-2027,Gujarat,Rural,25.44,1931094,69.27
27-06-2027,Maharashtra,Rural,13.55,3537172,51.09
28-06-2027,Delhi,Rural,11.49,1159325,66.26
29-06-2027,Gujarat,Rural,14.49,2063571,36.56
30-06-2027,Karnataka,Rural,19.76,4519323,55.71
01-07-2027,Uttar Pradesh,Rural,11.7,697218,62.39
02-07-2027,West Bengal,Urban,20.6,3915144,67.9
03-07-2027,Karnataka,Urban,15.24,3536252,43.49
04-07-2027,Rajasthan,Rural,18.8,917052,59
05-07-2027,West Bengal,Urban,15.9,2085957,51.55
06-07-2027,West Bengal,Urban,12.36,1528080,32.43
07-07-2027,Maharashtra,Urban,28.71,1201928,57.6
08-07-2027,Maharashtra,Urban,24.09,2621279,57.6
09-07-2027,Gujarat,Rural,8.5,2200343,67.22
10-07-2027,Maharashtra,Rural,26.71,4196392,49.89
11-07-2027,Delhi,Rural,17.19,2826016,39.21
12-07-2027,Delhi,Urban,27.36,1344289,31.78
13-07-2027,Rajasthan,Rural,25,542939,46.63
14-07-2027,Karnataka,Rural,15.63,1152207,42.08
15-07-2027,Uttar Pradesh,Urban,5.56,3382972,60.44
16-07-2027,Tamil Nadu,Urban,11.72,404224,44.17
17-07-2027,Delhi,Rural,18.54,4514473,67.96
18-07-2027,Rajasthan,Rural,20.84,2811793,68.49
19-07-2027,West Bengal,Rural,11.45,4847263,54.84
20-07-2027,Maharashtra,Urban,8.48,2419124,67.15
21-07-2027,Tamil Nadu,Rural,25.87,4023227,60.43
22-07-2027,Karnataka,Urban,29.61,2173290,51.87
23-07-2027,Maharashtra,Rural,18.14,2618970,37.21
24-07-2027,West Bengal,Urban,9.29,3989877,48.34
